,Title,Category,Summary,Fees/Payments,Languages,Website,Address,Email,Phone
10,Cole Street Youth Clinic,Community Clinics,"Offers comprehensive, age-appropriate, culturally-sensitive adolescent health services to teens and transitional age youth (TAY). Services include birth control, sexually transmitted infection (STI), HIV and Hepatitis C testing and treatment, PEP and PrEP (HIV prevention medication and services), primary care, urgent care, gender-affirming care, and mental health and/or substance abuse counseling.",No fee services.,"English, Spanish, and Cantonese.",https://www.huckleberryyouth.org/huckleberry-youth-health-center-cole-street-clinic/,"555 Cole Street @ Haight San Francisco, CA 94117",N/A,(415) 751-8181
11,Community Youth Center,Community Clinics,"Provides case management and individual and family therapy for youth and their families. Clinicians and case managers conduct psycho-social assessments address mental health stigma. Address the following concerns: limited access to linguistically and culturally appropriate services and co-factors specific behavioral health issues such as violence, chronic truancy, and substance use prevention.","Free service for MediCal recipients, may be sliding scale with private insurance. Often referred in through school staff.","English, Chinese, Cantonese, Tagalog, and Spanish.",https://www.cycsf.org/,"1038 Post Street San Francisco, CA 94109",hello@cycsf.org,(415) 775-2636
12,Greenlight Clinic,Community Clinics,Provides free and confidential mental health therapy for young people 14-26 years old in the San Francisco Bay Area so they may develop skills and behaviors to attain their personal goals. A licensed therapist or experienced interns leads therapy sessions.,"Free 50-minute individual therapy sessions; must schedule an appointment, no drop ins available",English,https://www.greenlightclinic.org/,"336 Bon Air Center Suite 511, Greenbrae, California 94904",hello@greenlightclinic.org,(415) 742-4306
13,Integrated Care Center,Community Clinics,"Provides integrated primary care, behavioral health services, and substance use services. Staff is experienced with the complex healthcare needs resulting from homelessness, poverty, and addiction. Providers have specialized expertise in preventative health, chronic conditions, the treatment of infectious diseases, and addiction.",Accepts Medi-Cal and Medicare; offers free services to homeless and low-income individuals.,All languages are available through interpreters.,https://www.healthright360.org/agency/integrated-care-center,"1563 Mission Street San Francisco, CA 94103",N/A,(415) 746-1940; After Hours Line: (415) 746-1940
14,Horizons Unlimited of San Francisco,Community Clinics,"Offers a wide array of culturally competent and innovative substance abuse prevention and treatment, mental health, gender-specific and employment services and programs that promote healthy development and empower youth and families to take action in their community. Staff mirrors the backgrounds and life experiences of those served, and through the provision of a variety of high appeal programs, helps to transform their lives.","Employment Programs, Gender Specific Programs, Prevention Programs, Treatment Programs",English and Spanish.,https://www.horizons-sf.org/,"440 Potrero Avenue, San Francisco, CA 94110",info@horizons-sf.org,(415) 487-6700
15,Huckleberry Youth Program,Community Clinics,"Strengthens families and empowers young people with services that promote safety in times of crisis, physical and emotional health and well-being, social justice in communities facing inequity, and educational success.","No fee services; crisis shelter, counseling programs, support for sexually exploited youth, health care and health education in San Francisco, career training and college access, juvenile justice diversion, juvenile justice diversion for middle schoolers","English, Spanish, and Cantonese",https://www.huckleberryyouth.org/,"555 Cole Street @ Haight San Francisco, CA 94117",hyp@huckleberryyouth.org,(415) 751-8181
16,Instituto Familiar de la Raza,Community Clinics,"Oversees programs addressing the needs of the Chicano/Latino community in SF. Offers outpatient mental health clinic, school programs, HIV services, social wellness programs, and case management.","Accepts MediCal and private pay; La Cultura Cura Youth Program, La Clínica, Indígena Health and Wellness Collaborative, Early Intervention and School-Based Program, Casa Corazón, Sí a la Vida",English and Spanish.,https://www.ifrsf.org/,"2919 Mission Street, San Francisco, CA 94110",info@ifrsf.org,(415) 229-0500
17,Jewish Family and Children's Services,Community Clinics,"Supports children from infancy into young adulthood with expert clinical care and a wide range of specialized services. Offers parenting workshops, support groups, parent coaching and consultation, child behavior and school support, clinical and special needs services, parent/child activity groups, and individual and family therapy.","Accepts MediCal and private pay; Services for Families, Workshops","English, Russian, and Chinese.",https://ccy.jfcs.org/,"1710 Scott Street San Francisco, CA 94115",contact through the following link: https://ccy.jfcs.org/contact/,(415) 359-2454
18,Larkin Street Youth Services,Community Clinics,"Provides a continuum of wraparound care to help young people thrive, including outreach/engagement services, health/wellness, housing, education and employment. Medical clinic provides free primary care and HIV prevention, including confidential testing. Also offers HIV specialty services, case management, behavioral health, and residential aftercare.","No fee services; outreach and engagement programs, health and wellness programs, housing services, education and employment programs",English,https://larkinstreetyouth.org/,"134 Golden Gate Avenue San Francisco, CA 94102",contact through the following link: https://larkinstreetyouth.org/impact/who-we-are/contact-us/,(415) 673-0911; Youth experiencing or at risk of homelessness: (800) 669-6196
19,Mission Neighborhood Health Center Teen Clinic,Community Clinics,"Offers sensitive, respectful and non-judgmental services that are free and confidential for all young people of all genders from ages 12 to 21. Services offered include health education, family planning/counseling, pregnancy tests, STI testing and treatment, emergency contraception, general mental health counseling, and referrals.",No fee services; youth over 12 years old can register for services independently.,English and Spanish,https://www.mnhc.org/medical-services-categories/san-francisco-teen-clinic/,"240 Shotwell Street San Francisco, CA 94110",teenclinic@www.mnhc.org,(415) 552-3870
20,Occupational Therapy Training Program,Community Clinics,"Provides trauma-informed, client-centered support to improve functioning in school, home, work, and community settings. Comprehensive services include individual occupational therapy, individual psychotherapy, and case management.","Accepts MediCal for youth between ages 5 and 18; Youth are referred through local community mental health clinics, including the Mission Family Center, the Southeast Child, and Family Therapy Center, and the Chinatown Child Development Center.",English and other languages depending on the program,http://www.ottp-sf.org/,"425 Divisadero Street, Suite 300 San Francisco, CA 94117",info@ottp-sf.org,(415) 551-0975
21,Richmond Area Multi-Service,Community Clinics,"Offers individual, Group & Family Therapy; Case Management; Psychiatric Evaluation & Medication Management; Psychological Assessment & Testing; Information & Referral; and Consultation. Specialize in serving Asian and Pacific Islander Americans.","Healthy SF, Medicare, Medical accepted and no health insurance - SF residents only; sliding scale for those with insurance",English and numerous other languages available,https://ramsinc.org/,"4355 Geary Boulevard, San Francisco, CA 94118",info@ramsinc.org,(415) 800-0699
22,Safe and Sound,Community Clinics,"Offers parenting classes, play therapy, dinners for families, talkline to help families, parents, and children. Specializes in helping families dealing with child abuse.",No referrals for Wallace street services but referral needed for Bayview - services free at both sites,English and Spanish,https://safeandsound.org/,"1757 Waller Street San Francisco, CA 94117",info@safeandsound.org,(415) 668-0494
23,Southeast Child-Family Therapy Center,Community Clinics,"Offers support to people functioning in the Bayview Hunters Point community to their highest level possible by helping them cope with difficult feelings and family dynamics, move through the grieving process, receive eligibility for financial benefits, and find housing and work. Specializes in Individual therapy, psychiatrists and psychologists.",Only Medi-Cal in SF County,"English, Spanish, Cantonese, Mandarin",https://sfhealthnetwork.org/primary-care-3/southeast-health-center/psychosocial-care/,"100 Blanken Avenue, San Francisco, CA 94134; 1525 Silver Avenue, San Francisco, CA 94134",contact through the following link https://101g-xnet.sfdph.org:8443/ords/eeopn/f?p=145:2,Blanken Ave: (415) 330-5740; Silver Ave: (415) 657-1770
24,Sunset Mental Health Clinic,Community Clinics,"Offers individual therapy, group and family therapy, psychiatric medication, and children's programs. Specializes in Child & Adolescent Psychiatry, Psychology and Psychiatry.",Sliding scale,"English, Cantonese, Mandarin, Russian",https://sf-goso.org/health-treatment/outpatient-treatment/sunset-mental-health-clinic-health-treatment/,1990 41st Ave. San Francisco CA 94116,contact through the following link: https://sf-goso.org/health-treatment/outpatient-treatment/sunset-mental-health-clinic-health-treatment/,(415) 753-7400
25,YMCA Family Resource Center,Community Clinics," Dedicated to building strong kids, strong families and strong communities by enriching the lives of all people in spirit, mind and body. Offers family advocacy, counseling, parenting workshops, various community events, weekly food distribution, individual and group counseling sessions via our Early Periodic Screening and Diagnostic Testing (EPSDT) program in schools, family counseling sessions, trauma recovery mental health services, domestic violence counseling, among many other services.",There is no cost to participate in our community programs.,"OMI and Potrero Hill: English, Chinese, Spanish; Western Addition: English and Spanish",https://www.ymcasf.org/programs/urban-services-family-resource-centers,"OMI (Oceanview, Merced, Ingleside): 156 Broad Street, San Francisco; Potrero Hill: 129 Dakota Street & 751 Missouri Street, San Francisco; Western Addition: 1426 Fillmore Street Suite 303, San Francisco",Memberservices@ymcasf.org,OMI: (415) 406-1370; Potrero Hill: (415) 795-3591 & (415) 590-2157; Fillmore Street (415) 202-9770
26,California Pacific Medical Center Psychiatric Services,Crisis/Evaluation Services,"Focused on helping your child or teenager return to an active and productive life and be equipped with the skills to maintain good mental health for a lifetime. Offers outpatient mental health treatment, as well as inpatient evaluation, by board-certified psychiatrists. Provides personality assessments, individual therapy and group therapy.",Should check with insurance provider to see if CPMC’s child and adolescent behavioral health services would be covered.,"English, Spanish; offers interpreter services for a variety of languages",https://www.sutterhealth.org/cpmc/services/behavioral-health/child-adolescent-behavioral-health,"2323 Sacramento Street, San Francisco, CA 94115",N/A,(415) 600-3247
27,Comprehensive Child Crisis Service,Crisis/Evaluation Services,"Provides a 24-hour, multilingual, crisis intervention and short-term stabilization program for families and children who are experiencing emotional distress related to family violence, physical or emotional illness, school truancy, behavioral problems and other crises. Families can either arrange to come to the clinic or a crisis team may travel to the home, school or other San Francisco location to evaluate the problem. Evaluation includes assessment for inpatient hospitalization. Also offers specialized services for victims of community violence and chronically suicidal youth.","Sliding scale fees; accepts MediCal, private insurance, Healthy Families, Healthy Kids","English, Spanish, Chinese, Tagalog, Vietnamese and other languages can be accommodated",https://www.sfdph.org/dph/comupg/oservices/mentalHlth/cbhs/default.asp,"1380 Howard Street, 5th Floor San Francisco, CA 94103",N/A,24 hour hotline: (415) 970-3800
28,Edgewood Crisis Stabilization Unit,Crisis/Evaluation Services,"Provides youth ages 6-17 and families a safe, structured, child-friendly and supportive place to address mental health needs. Offers 24/7 Nursing and clinical care including, with a focus on crisis stabilization and triaging, risk assessment, crisis stabilization and prevention, triaging, evaluation and risk assessment, medical screening, discharge planning including linkage with community supports and services, collaborative treatment planning, coping skills building and safety planning, parent and guardian support and education.","No one will be charged. Prefer people to have insurance, but if they don't have insurance, you will not be charged.",English and Spanish,https://edgewood.org/crisis-stabilization/,"1801 Vicente Street San Francisco, CA 94116", info@edgewood.org,(415) 682-3278
29,McAuley Adolescent Psychiatric Unit,Crisis/Evaluation Services,"Treats adolescents whose emotional problems are impacting their safety and functioning. Provides high quality, well-coordinated mental health services in a safe, consistent, therapeutic environment. Specializes in acute and quick care, 24/7 nursing, daily one-on-one therapy with a psychiatrist, therapeutic groups (including using mediums such as art, drama, music, and writing, to encourage self-reflection and build coping skills), spiritual services.","Accept most insurances, including SF Health Plan.",Interpreter services available.,https://www.dignityhealth.org/bayarea/locations/stmarys/services/adolescent-psychiatric-services,"2200 Hayes Street 5th Floor, San Francisco, CA 94117",N/A,Inpatient unit: (415) 750-5649; Outpatient unit: (415) 750-5580
30,Community Alliance for Special Education (CASE),Crisis/Evaluation Services,"Serves current and prospective SF Bay Area public school families and their students with disabilities. Provides free individual technical assistance, consultations, advocacy, and training through their network of educational specialists. Assists parents with assessment and records review, classroom program and placement concerns, the Individual Education Program (IEP) process, mediation with public school agencies, due process hearings, and the compliance complaint process.",Offers a free 60-minute consultation with a CASE advocate; provides attorney and non-attorney representation on a sliding fee basis.,"English, Spanish, and Farsi",https://caseadvocacy.org/,"1550 Bryant Street Suite 735 San Francisco, CA 94103",info@caseadvocacy.org,415-431-2285
31,Edgewood Community School,Crisis/Evaluation Services,"Provides specialized academic instruction with intensive behavioral and therapeutic support to students struggling in public school settings due to emotional and behavioral challenges. Consists of one grade school and one High School located on their Vicente Campus in San Francisco. Uses a strengths-based approach to foster the emotional, social, and academic necessary for students to return to less restrictive school placements.",Referred by their school district through the Individual Education Program (IEP) process.,English,https://edgewood.org/community-school/,"1801 Vicente Street San Francisco, CA 94116",info@edgewood.org,(844) 334-3411
32,McAuley Counseling Enriched Education Program,Crisis/Evaluation Services,"An outpatient program offered jointly by St. Mary’s Adolescent Psychiatric Services, the San Francisco Department of Public Health-Behavioral Health Services, and the San Francisco Unified School District. Offers comprehensive evaluation, ongoing intensive therapy and treatment, educational services for adolescents who are unable to successfully participate in comprehensive community-based academic programs and outpatient therapeutic services.",Referred to program through an Individualized Education Plan (IEP); (IEPs are established with your child’s home school or the school district),"English, Chinese, Spanish",https://www.dignityhealth.org/bayarea/locations/stmarys/services/adolescent-psychiatric-services/counseling-enriched-education-program,"2200 Hayes Street, 3rd Floor San Francisco, California",contact through the following link,(415) 750-5580
33,San Francisco Unified School District Special Education Services,Education Services,"Identifies, locates and assesses all students within the district from birth to 22 years of age who may have disabilities, and provides appropriate support and/or related services to those students determined by an educational evaluation. Also provides eligible students with disabilities a free and appropriate public education (FAPE) consistent with federal and state laws. Offers General Education, related services, resource specialist services, and separate classes. The student assignment process varies depending upon the services required to meet a child’s educational needs and the amount of time the student spends in the general education setting.",No fees.,"English, Spanish, Cantonese",https://www.sfusd.edu/services/student-supports-programs/special-education,"3045 Santiago Street San Francisco, CA 94116",contact through the following link,(415) 759-2222
34,Edgewood Center For Children and Families,Extended Services,"Supports youth and their families through life’s challenges with a full continuum of behavioral health services. Focuses on mental health, family relationships, and life skills, and programs range from prevention and early intervention to community-based, day, and residential treatment.","Contact Intake Department at 1-844-EDGE411 (334-3411) for intakes/referrals, and visit the Intake Page for more information. Accept SF County Medical and private insurance.","Bilingual therapists in Spanish and Cantonese, specific to programs",https://edgewood.org/about/,"1801 Vicente Street, San Francisco, CA 94116",com@edgewood.org,(415) 681-3211
35,Felton Institute,Extended Services,"Provides access to comprehensive services to low-income, at-risk children, youth and families to give them a sound foundation for lifelong development, family economic success, and hope for a successful future. Offers comprehensive, culturally relevant, linguistically appropriate, trauma-informed, strength and evidence-based services, including the following programs: Full Circle Family Program, Early Care and Education Programs, Early Autism Program, Infant Development/Early Intervention Program, Developmental Education and Parenting Program, Young Family Resource Center, Early Psychosis/Schizophrenia Program, Bipolar Early Assessment and Management Program.","Children, Youth and Family (CYF), Transitional Age Youth (TAY), Adult Services, Justice-Impacted Individuals, Senior Services",English,https://felton.org/social-services/children-youth-family/,"1500 Franklin Street, San Francisco, CA 94109",info@felton.org,(415) 474-7310
36,Seneca Family of Agencies,Extended Services,Helps children and families through the most difficult times of their lives by providing community-based programs to support their mental health needs in San Francisco.,"Must be MediCal eligible; Referrals for the SF programs come through San Francisco County, referrals for the Dialectical Behavioral Therapy Clinic come from a wide range of sources, and referrals for the Therapeutic Behavioral Services come from other Seneca programs, outside providers, and the county.","Spanish, Chinese & capacity in Arabic, Russian, Tagalog, Japanese, Vietnamese as needed. Interpreter services also available.",https://www.senecafoa.org/,"2513 24th Street, San Francisco, CA 94110",info@senecacenter.org,(415) 642-5968
37,A Better Way - SF Therapeutic Visitation and Outpatient Services,Extended Services,"Empowers children and families to develop the insights, life skills, and permanent relationships that promote their social, emotional, educational and economic well-being. Support, treatment and parent training helps families overcome the impact of poverty, community violence mental health problems, addictive illness and patterns of child abuse and neglect that put their children at risk. Among its behavioral health services, they offer Early Childhood Services, Therapeutic Visitation Services, Pre & Post Adoption Support Services, Psychological Evaluation, Child & Adolescent Permanency Support Services, Family Strengthening, and Parent Advocacy.","Behavioral Health Services, Foster Care Services, Family Strengthening, Parent Advocacy",English,https://www.abetterwayinc.net/,"2017 Mission Street, 2nd Floor San Francisco, CA 94110",contact through the following link: https://www.abetterwayinc.net/locations-contact,(415) 715-1050
38,Alternative Family Services (AFS),FosterAdoptiveAlternative Family Resources,"Support vulnerable children and families in need of stability, safety, and wellbeing in communities. Provides Community Based Mental Health Services and Therapeutic Visitation Services to children and families involved with foster care, adoptions, and juvenile probation. Some of the disorders treated by AFS include post traumatic stress disorder (PTSD), abuse related trauma, disruptive disorders (e.g. attention deficit disorder), depression, anxiety, substance abuse, and disrupted family relationships.","Foster Services, Adoption Services, Mental Health Services",English,https://www.afs4kids.org/,"250 Executive Park Blvd, Suite 4900 San Francisco, CA 94134",info@afs4kids.org,(415) 656-0116
39,Unity Care,FosterAdoptiveAlternative Family Resources,"Provides quality youth and family programs for the purpose of creating healthier communities through lifelong partnerships. Goals are to implement safe, secure, and positive living environments; educate and support underserved youth; and prepare young people to pursue professions in which minorities are chronically underrepresented. Offers programs and services that support foster youth and young adults striving toward self-sufficiency; provides secure and affordable housing options; offers mental health services.",Foster youth and young adult services; housing; connections for emotional safety; therapy services & outpatient mental health clinic,English,https://www.unitycare.org/well-being/,"3073 Alemany Boulevard San Francisco, CA 94112",contact through the following link: https://www.unitycare.org/contact-us/,(415) 610-6336
40,Support for Families of Children With Disabilities,General InformationResourcesServices,"Offers information, education, and parent-to-parent support to families and professionals of children with any kind of disability or special health care need in San Francisco. This includes support groups for families whose child has mental health concerns, information and education regarding special education services, and parenting classes that might be useful for families experiencing behaviors that challenge them to parent their children/youth.",Free services; warmline; caregiver support groups; Parent Mentor Program,"English, Spanish, Cantonese, and Mandarin",https://www.supportforfamilies.org/,"1663 Mission St, Ste 700, SF, CA",info@supportforfamilies.org,(415) 282-7494
41,Mental Health Association of San Francisco,General InformationResourcesServices," Cultivates peer leadership, builds community, and advances social justice in mental health. Provides online mental health screening tools, resource connect and peer run warm line.","Warmline; peer support (including peer counseling, peer support groups, and peer providers); Propel (supports career development); training institute (mental health education)",English,https://www.mentalhealthsf.org/,"870 Market Street, Suite 928 San Francisco, California 94102",info@mentalhealthsf.org,(415) 421-2926
42,Mental Health Board of San Francisco,General InformationResourcesServices,"Advises, reviews, advocates, and educates; with the aim of having that advice integrated, incorporated, and reflected in implementation of mental health policy along with the ultimate goal of ensuring quality mental health services.",Free services,English,http://www.mhbsf.org/,"1380 Howard Street, Suite 226, San Francisco, CA 94103",mhb@mentalhealthboardsf.org,415-255-3474
43,National Alliance on Mental Illness (NAMI) SF,General InformationResourcesServices,"Supports people with mental illnesses and their families by helping them find the coping mechanisms for their daily struggle with brain disorders. E​ducates people who have mental illness, their families, and the general public about mental illness with the goal of dispelling ignorance and stigma. Advocates for more research and an improved system of mental health services across the nation. Services include Helpline, support groups, educational meetings, newsletters, and a number of educational classes on mental illness held at various locations throughout the city.",All services are free and no referrals needed,Spanish and Cantonese (depending on service),https://www.namisf.org/,"711 Van Ness, Suite 550 San Francisco, CA 94102",info@namisf.org,415-237-0039
44,San Francisco County Mental Health Access: Community Behavioral Health Services,General InformationResourcesServices,"Protects and promotes the health of all San Franciscans. Offers a full range of specialty Behavioral health services provided by a culturally diverse network of community Behavioral health programs, clinics and private psychiatrists, psychologists, and therapists. Most people seeking behavioral health services need only basic counseling services. For those in need of more extensive treatment, the S.F. Behavioral Health Plan offers an array of services.","Services are provided to most individuals who receive Medi-Cal benefits at no fee or with a minimum share of cost. For all others, fees are based on a sliding scale.","Cantonese, Spanish, Vietnamese, Tagalog, Russian. Translators utilized if necessary.",https://www.sfdph.org/dph/comupg/oservices/mentalHlth/CBHS/default.asp,"1380 Howard Street, 5th Fl. (at Tenth St.), San Francisco, CA",n/a,24-Hour Access Helpline: (415) 255-3737 or (888) 246-3333
45,Homeless Children's Network,Homeless Resources,"Mission is to decrease the trauma of homelessness and domestic violence for children, youth, and families. Offers behavioral mental health services, early childhood consultation, and child therapy between ages 5 and 13.",Primarily service families with Medical. Referrals through SFUSD or CPS; not open to the public but families can call to set up referral meeting.,Spanish but can find translators,https://www.hcnkids.org/,"3450 3rd Street Bldg 1, Unit 1C San Francisco, CA 94124",admin@hcnkids.org,415-437-3990
46,Huckleberry House Crisis Shelter,Homeless Resources,"Educate, inspire and support underserved youth to develop healthier life choices, maximize their potential, and realize their dreams. Provides crisis intervention for youth and families, resolution services, and emergency shelter.","Shelter is free, counseling services accept Medical and sliding scale.","Spanish, Cantonese",https://www.huckleberryyouth.org/crisis-shelter/,"1292 Page St, San Francisco, CA 9117",hh@huckleberryyouth.org,(415) 621-2929
47,Larkin Street Youth Services,Homeless Resources,"Create a continuum of services that inspires youth to move beyond the street. Nurture potential, promote dignity and support bold steps by all. Offers crisis intervention, brief and long-term therapy, youth group, and psychoeducation.",None,English,https://larkinstreetyouth.org/,"134 Golden Gate Avenue San Francisco, CA 94102",contact through the following link https://larkinstreetyouth.org/impact/who-we-are/contact-us/,(415) 673-0911
48,California Youth Crisis Line (24hr),Hotlines,"Improves and empowers the lives of California’s youth by working towards connecting them to the services, resources, and programs they need to have successful lives. Offers crisis intervention counseling and resource referrals to service providers in the caller’s local community.",None,Translation service provided,https://calyouth.org/cycl/,N/A,info@calyouth.org,(800) 843-5200
49,Comprehensive Child Crisis Service (24-hour Hotline),Hotlines,"Provides a 24-hour, multilingual, crisis intervention and short-term stabilization program for families and children who are experiencing emotional distress related to family violence, physical or emotional illness, school truancy, behavioral problems and other crises. The family may either arrange to come to the clinic or a crisis team may travel to the home, school or other San Francisco location to evaluate the problem. Evaluation includes assessment for inpatient hospitalization. Also offers specialized services for victims of community violence and chronically suicidal youth.",Apply by phone; fees vary. Includes sliding scale and accepts Medi-cal.,"ASL, Chinese (Cantonese), Spanish, Vietnamese",N/A,N/A,N/A,(415) 970-3800
50,Huckleberry 24-Hour Teen Hotline,Hotlines,Provides confidential support for teens.,No fees.,"English, Spanish, Cantonese, and Mandarin",https://www.huckleberryyouth.org/get-help/,N/A,N/A,(415) 621-2929
51,Parental Stress Hotline,Hotlines,Parents receive information and referral services as well as a lending ear.  Hotline workers are trained to listen and to offer appropriate emotional support.,Free support group.,"Cantonese, Mandarin, Cambodian, Vietnamese. Samoan, Tagalog, Laotian",https://www.apafss.org/parental-stress-hotline.html,N/A,N/A,(415) 642-6850
52,San Francisco Suicide Prevention,Hotlines,"Provides emotional support, education, assistance, and intervention as necessary to all persons in crisis and those impacted by them, with the goal of reducing suicides and self-destructive behaviors.",Free,Spanish,https://www.sfsuicide.org/,"1757 Waller Street San Francisco, CA 94117",sfsuicide@felton.org,Main Crisis Line: (415) 781-0500; Crisis Text Line: Text MYLIFE to 741741
53,T.A.L.K. Line - 24 Hour Parental Support Line,Hotlines,"Offers compassionate support over the phone to parents and caregivers of children under the age of 18 in the Bay Area. Operates round-the-clock and is staffed by trained volunteers who provide support through the numerous challenges found in life and parenting. Call for support, information, service referrals, or just to connect with someone who will listen.",No fees.,"English, but can also get interpreters in over 200 languages",https://safeandsound.org/for-parents/get-help-now/,N/A,N/A,(415) 441-5437
54,Dimensions Clinic,LGBTQ Centered Services,"Helps lesbian, gay, bisexual, transgender, queer and questioning individuals lead healthy and connected lives, strengthening diverse communities. Approaches health holistically and values the whole human experience; clients at Dimensions can have their mental health, as well as medical needs, supported all under one roof. Offers mental health and/or substance abuse counseling, behavioral health services for queer youth.",Free for anyone living in San Francisco County,"Spanish,English",http://www.dimensionsclinic.org/,"3850 17th Street San Francisco, CA 94114",help@dimensionsclinic.org,(415) 934-7700
