,Title,Category,Level,Summary,Fees/Payments,Languages,Website,Address,Email,Phone
26,"Brother, You’re on My Mind",Black & African American Resources,General,"An initiative spearheaded by the Omega Psi Phi Fraternity, Inc., and the National Institute on Minority Health and Health Disparities (NIMHD) to raise awareness of the mental health challenges associated with depression and stress that affect Black men and families. Offers the Brother, You're on My Mind toolkit, which contains information about depression and stress in African American Men.","Brother, You're on My Mind Toolkit",English,https://www.nimhd.nih.gov/programs/edu-training/byomm/,"108 E. Ponce de Leon Avenue, Decatur, Georgia 30030",see website for contact info ,N/A
27,Melanin & Mental Health,Black & African American Resources,General,"Connects individuals with culturally competent clinicians committed to serving the mental health needs of Black & Latinx/Hispanic communities. Promotes the growth and healing of diverse communities through its website, online directory and events.",Directory of culturally competent therapists,English,https://www.melaninandmentalhealth.com/,"3143 Mission Street, San Francisco, CA 94110",contact through the following link: https://www.melaninandmentalhealth.com/contactus/,1 (800) 538-5729
28,Ourselves Black,Black & African American Resources,General,"Provides information about mental health promotion, positive coping strategies, and resources related to mental illness and treatment. Strives to provide you with relevant, current, and engaging mental health content and stories specifically routed in communities of color.",Mental Health Provider Directory; Mental Illness Library; Info for Parents; Online Magazine,English,"https://ourselvesblack.com/home Address: 675 Seminole Avenue NE, Unit t-03 Atlanta, Georgia 30307","1038 Post Street San Francisco, CA 94109",info@ourselvesblack.com ,N/A
29,Therapy For Black Girls,Black & African American Resources,General,"Online space dedicated to encouraging the mental wellness of Black women and girls. Offers listing of mental health professionals across the country who provide high quality, culturally competent services to Black women and girls, an informational podcast and an online support community.",Find a Therapist directory; Podcast,English,https://therapyforblackgirls.com/ ,"2919 Mission Street, San Francisco, CA 94110",info@therapyforblackgirls.com ,(401) 249-0044
30,The Steve Fund,Black & African American Resources,General,"Works with colleges and universities, non-profits, researchers, mental health experts, families, and young people to promote programs and strategies that build understanding and assistance for the mental and emotional health of the nation’s young people of color. Holds an annual conference series, Young, Gifted & @Risk, and offers a Knowledge Center with curated expert information. With multicultural mental health experts it delivers on-campus and on-site programs and services for colleges and non-profits, and through tech partnerships it provides direct services to young people of color.","Resource guides with videos and articles - Family Corner, Youth Healing Space, Young Women of Color; Young, Gifted, & Well;",English,https://www.stevefund.org/ Address: N/A,"1269 Howard Street, San Francisco, CA, 94103",info@stevefund.org ,(415) 872-7465
31,CARECEN SF Family Wellness Program,Latinx Resources,Local Bay Area,"Responds to the needs of families facing multiple barriers or in crisis as a result of migratory status, poverty, social isolation, violence, and other social and health disparities. Offers: Individual and family counseling; Comprehensive case management and family support; Information, referrals and service connection; System navigation and advocacy; Language access support.",Free services; Immigration Legal Program,"English, Spanish",https://carecensf.org/programs/family-wellness/,"8393 Capwell Drive, Suite 240 Oakland, CA 94621",contact through the following link: https://carecensf.org/about-us/contact-us/,(415) 775-2636
32,Community Youth Center,Latinx Resources,Local Bay Area,"Provides case management and individual and family therapy for youth and their families. Clinicians and case managers conduct psycho-social assessments address mental health stigma. Address the following concerns: limited access to linguistically and culturally appropriate services and co-factors specific behavioral health issues such as violence, chronic truancy, and substance use prevention.","Free service for MediCal recipients, may be sliding scale with private insurance. Often referred in through school staff.","English, Chinese, Cantonese, Tagalog, and Spanish.",https://www.cycsf.org/ ,N/A,hello@cycsf.org ,(415) 229-0500
33,Instituto Familiar de la Raza,Latinx Resources,Local Bay Area,"Oversees programs addressing the needs of the Chicano/Latino community in SF. Offers outpatient mental health clinic, school programs, HIV services, social wellness programs, and case management.","La Cultura Cura Youth Program, La Clínica, Indígena Health and Wellness Collaborative, Early Intervention and School-Based Program, Casa Corazón, Sí a la Vida","English, Spanish",https://www.ifrsf.org/ ,N/A,info@ifrsf.org ,Office: (415) 503-0500; 24/7 Crisis Hotline: (877) 503-1850; Text Support Line: (415) 200-3575
34,La Casa des Madres,Latinx Resources,Local Bay Area,"Offers a continuum of comprehensive and empowering services to women, teens, and children exposed to and at risk of abuse. Provides access, tools and support—clinical and peer-based—that strengthen their ability to affect change and break the cycle of violence.","Crisis Response Services, Support Services, Prevention Education","English, Spanish, Tagalog, Cantonese",https://www.lacasa.org/ ,N/A,info@lacasa.org ,(510) 832-7337
35,PEERS,Latinx Resources,Local Bay Area,"Equips individuals with tools they need to pursue their overall wellness. Offers culturally appropriate services to support mental health; including support groups, art workshops, faith-based support groups, and evidenced based skill-building workshops.","Teen and Young Adults Programs, PEERS Programs","English, Spanish, and Cantonese",https://peersnet.org/ ,N/A,admin@peersnet.org ,see respective websites for each therapist for more info
36,Therapist of Color (TOC),Latinx Resources,Local Bay Area,Directory of BIPOC therapists in the Bay Area and throughout California.,"Fees for sessions differ for each therapist, see their respective websites for more info.",see respective websites for each therapist for more info,http://www.therapistsofcolor.org/directory.html,N/A,see respective websites for each therapist for more info,see respective websites for each therapist for more info
37,American Society of Hispanic Psychiatry,Latinx Resources,General,"Promotes the research, education, advocacy, and support for those in the Hispanic community. Offers a “Find a Physician” feature on their website.",Find a Physician Directory,English,https://www.americansocietyhispanicpsychiatry.com/,N/A,see respective websites for each therapist for more info,N/A
38,Melanin & Mental Health,Latinx Resources,General,"Connects individuals with culturally competent clinicians committed to serving the mental health needs of Black & Latinx/Hispanic communities. Promotes the growth and healing of diverse communities through its website, online directory and events.",Directory of culturally competent therapists,English,https://www.melaninandmentalhealth.com/,"938 The Alameda, San Jose, CA 95126",contact through the following link: https://www.melaninandmentalhealth.com/contactus/,N/A
39,Mental Health America’s Resources for Latinx/Hispanic Communities,Latinx Resources,General,"Focused on creating materials and content that help to bridge the gap in knowledge about mental health conditions with the goal of normalizing conversations around mental health in the Latinx and Hispanic community. Provides culturally sensitive resources, such as, screening tools, therapist directories, in English and Spanish.",Información Y Materiales De Salud Mental En Español,"English, Spanish",https://www.mhanational.org/issues/latinxhispaniccommunities-and-mental-health,"4058 18th Street, San Francisco, CA 94114",N/A ,N/A
40,Therapy for Latinx,Latinx Resources,General,"National mental health resource for the Latinx community; provides resources for Latinx community to heal, thrive, and become advocates for their own mental health. Offers a database of therapists who either identify as Latinx or have worked closely with the and understands the unique needs of the Latinx community.",Therapist Directory,"English, Spanish",https://www.therapyforlatinx.com/ ,"427 S Van Ness Avenue, San Francisco, CA 94103",N/A ,(401) 249-0044
41,The Steve Fund,Latinx Resources,General,"Works with colleges and universities, non-profits, researchers, mental health experts, families, and young people to promote programs and strategies that build understanding and assistance for the mental and emotional health of the nation’s young people of color. Holds an annual conference series, Young, Gifted & @Risk, and offers a Knowledge Center with curated expert information. With multicultural mental health experts it delivers on-campus and on-site programs and services for colleges and non-profits, and through tech partnerships it provides direct services to young people of color.","Resource guides with videos and articles - Family Corner, Youth Healing Space, Young Women of Color; Young, Gifted, & Well;",English,https://www.stevefund.org/ ,"3850 17th Street, San Francisco CA 94114",info@stevefund.org ,(408) 293-3040
42,Billy DeFrank LGBTQ+ Community Center,LGBTQ Resources,Local Bay Area,"Provides a broad array of opportunities and programs, a dedicated and caring staff, a corps of volunteers, and a spirit of community that celebrates the many facets of our broad-based Lesbian, Gay, Bisexual and Transgender constituency. Offers weekly community activities, support groups, and walk-in HIV testing.",Discussion Groups; HIV Testing; Weekly Activities,English,https://www.defrankcenter.org/ ,N/A,fabulous@defrank.org ,(408) 293-3040
43,Castro Country Club,LGBTQ Resources,Local Bay Area,"A safe and sober community center for all people and a refuge for the LGBTQ recovery community. Provides programs and services that help people change their lives by supporting personal growth. Offers meetings everyday from a variety of fellowships; whatever the struggle, they work to provide a safe space for folks to heal.",Daily Meeting Information; Community Events; Workforce & Development Skills Training;,English,https://www.castrocountryclub.org/ ,N/A,info@castrocountryclub.org ,(415) 777-5500
44,Community United Against Violence (CUAV),LGBTQ Resources,Local Bay Area,"Works to build the power of LGBTQ (lesbian, gay, bisexual, transgender, queer) communities to transform violence and oppression, offering peer counseling, community leadership training, and more. As part of the larger social justice movement, CUAV works to create truly safe communities where everyone can thrive.",Peer Advocacy Counseling; Take Care Tuesdays (Support Group),English,https://www.cuav.org/ ,"127 Collingwood Street, San Francisco, CA 94114",info@cuav.org ,(415) 934-7700
45,Dimensions Clinic,LGBTQ Resources,Local Bay Area,"Offers mental health and/or substance abuse counseling, behavioral health services for queer youth to help lesbian, gay, bisexual, transgender, queer and questioning individuals lead healthy and connected lives, strengthening our diverse communities. By approaching health holistically and valuing the whole human experience, clients at Dimensions can have their mental health, as well as medical needs, supported all under one roof.",Medical Services; Mental Health Services; Support Services (Support Groups),"English, Spanish",http://www.dimensionsclinic.org/ ,"1800 Market Street, San Francisco, CA 94102",help@dimensionsclinic.org ,(415) 729-3996
46,Gaylesta,LGBTQ Resources,Local Bay Area,"Offers mental health services including therapist referrals, education and consultation. They seek to provide a range of services, experience, specializations, and expertise. Also, they work to promote awareness of the special skills our members have to offer the LGBTQ communities and the general public.",Find-A-Therapist (Directory); Community Resources,English,https://gaylesta.org/ ,"452 South First Street, San Jose, CA 95113",help@dimensionsclinic.org ,N/A
47,LGBTQ Psychotherapists of Color,LGBTQ Resources,Local Bay Area,Directory of therapists specializing in LGBTQ+ and BIPOC clients.,N/A,English,https://www.lgbtqpsychotherapistsofcolor.com/,"1930 Market Street San Francisco, CA 94102",contact through the following link: https://www.lgbtqpsychotherapistsofcolor.com/contact-us-form,(415) 703-6150 x100
48,LYRIC Center for LGBT Youth,LGBTQ Resources,Local Bay Area,"Offers community mentorship programs, artistic residencies, medical support for trans youth, mentorship programs. LYRIC’s mission is to build community and inspire positive social change through education enhancement, career training, health promotion, and leadership development with LGBTQ youth, their families, and allies of all races, classes, genders, and abilities.",Community Building Groups; School-Based Initiatives; Youth Internships; Youth Advocacy; Transitional-Age Youth; Health & Wellness Programs,English,https://lyric.org/ ,N/A,lyricinfo@lyric.org ,(415) 865-5555
49,SF LGBT Center,LGBTQ Resources,Local Bay Area,"Offers a vast array of programs and services for the entire LGBT community. Programs include arts and culture, youth services, community programs, employment services, housing & financial services, information and resources. Youth services provide access to basic needs, hygiene supplies, food, food access gift cards, masks, gender-affirming gear, clothing, resource referrals, and virtual spaces. The Center’s Mental Health Department provides FREE and confidential bilingual (Spanish) and bicultural (Latinx/American) holistic gender-affirming mental health services to LGBTQ+ youth (primarily between ages 16-24).",Arts & Culture; Community Programs; Employment Services; Financial Services; Information & Resources; Small Business Services; Youth Services,"English, Spanish",https://www.sfcenter.org/ ,N/A,info@sfcenter.org ,(408) 343-7940
50,The LGBTQ Youth Space,LGBTQ Resources,Local Bay Area,"A community drop-in center and mental health program for lesbian, gay, bisexual, transgender, queer, questioning and ally youth and young adults ages 13-25 who live in Santa Clara County. Offers a safe and confidential space with support groups, art workshops, activism and leadership opportunities. Mental health services are available to 13-25 year olds and include individual counseling, case management and psychiatry.",Free confidential services; Counseling; Resources,"English, Spanish, American Sign Language",https://youthspace.org/ ,"1032 15th Street NW Suite 199, Washington D.C. 20005",YouthSpace@FCServices.org ,see website for contact info
51,UCSF Behavioral Alliance Health Project,LGBTQ Resources,Local Bay Area,"Aims to to support the mental health and wellness of the lesbian, gay, bisexual, transgender, and queer (LGBTQ) and HIV-affected communities in constructing healthy and meaningful lives. As a LGBTQ specialty mental health clinic, they offer behavioral health and sexual health services. Their behavioral health services include: case management, medication management, supportive services for transgender and gender non-conforming people including evaluation and preparation for gender-affirming surgeries, support groups, therapy and substance use counseling.","Behavioral Health Services, includes Support Groups; Sexual Health Services","English, Cantonese, Mandarin, Spanish, Russian, American Sign Language",https://alliancehealthproject.ucsf.edu/ ,N/A,see website for contact info ,N/A
52,"American Psychological Association (APA) on Lesbian, Gay, Bisexual, and Transgender Health",LGBTQ Resources,General,"The American Psychological Association (APA) directory for LGBT health issues, educational materials, and resources.",LGBT Programs and Projects; Resources and Publications,English,https://www.apa.org/pi/lgbt/resources/lgbt-health,"1629 K Street NW Suite 300 Washington, DC 20006",N/A ,(215) 222-2800
53,Association of LGBTQ+ Psychiatrists (AGLP),LGBTQ Resources,General,"Offers numerous resources for LGBT individuals experiencing mental health conditions and psychiatric professionals with LGBTQ+ clients. Also, provides an online referral service to connect LGBTQ+ individuals with a mental health provider.",Online Referral Service; LGBTQ+ Resources,English,http://www.aglp.org/ ,N/A,info@aglp.org ,(202) 642-4542
54,National Center for Transgender Equality (NCTE),LGBTQ Resources,General,"Advocates to change policies and society to increase understanding and acceptance of transgender people. Offers resources that explain up-to-date transgender people’s rights, how to file complaints of discrimination or mistreatment and how to find legal help. Additionally, provides self-help guides to obtain health care coverage and name and gender change information for state or federally issued identification.",Know Your Rights Guide; Self-Help Guides,English,https://transequality.org/ ,N/A,ncte@transequality.org ,N/A
55,"Society for Sexual, Affectional, Intersex, and Gender Expansive Identities (SAIGE)",LGBTQ Resources,General,"Delivers educational and support resources for LGBTQ individuals, as well as promoting competency on LGBTQ issues for counseling professionals.",Resources,English,https://saigecounseling.org/ ,"1121 Mission Street San Francisco, CA 94103",contact through the following link: https://saigecounseling.org/contact/,(202) 600-8037
56,The Gay and Lesbian Medical Association’s Provider Directory,LGBTQ Resources,General,A search tool that can locate a LGBTQ-inclusive health care provider.,Resources,English,https://glmaimpak.networkats.com/members_online_new/members/dir_provider.asp,call for address,info@glma.org ,LGBT National Hotline: 888-843-4564; LGBT National Coming Out Support Hotline: 888-688-5428; LGBT National Youth Talkline (for those 25 & younger): 800-246-7743; LGBT National Senior Hotline (for those 50 and above): 888-234-7243
57,The LGBT National Help Center,LGBTQ Resources,General,"Offers confidential peer support connections for LGBT youth, adults and seniors including phone, text and online chat.",Free confidential services; Find a LGBT Help Center Near Me,English,http://www.glbtnationalhelpcenter.org/; One-to-one Online Chat: www.LGBThotline.org/Chat,"333 Turk Street, San Francisco, CA 94102",help@LGBThotline.org ,866-488-7386
58,The Trevor Project: 24/7 Suicide Prevention Lifeline,LGBTQ Resources,General,"Mission is to end suicide among gay, lesbian, bisexual, transgender, queer & questioning young people. Offers a judgment free place to talk if one is feeling suicidal or is in crisis. Provides a crisis intervention which includes a lifeline, safe chat and text services.",No fees.,N/A,https://www.thetrevorproject.org/?gclid=EAIaIQobChMIrOmujcfK6gIVw8DACh12XAwuEAAYASAAEgK4tPD_BwE,"3575 Geary Boulevard, San Francisco, CA 94118",info@thetrevorproject.org ,(415) 567-6255
59,Asian Pacific Islander (API) Legal Outreach,Older Adult Resources,Local Bay Area,"Works to prevent abuse towards elders and people with disabilities and to assist survivors of abuse. Prioritizes services for seniors and individuals with disabilities that are responsive to their language and culture. Through these community-based services, API Legal Outreach works to break the cycle of violence against women, youth and seniors, to advocate for the rights of immigrants and those with disabilities, to promote the dignity and independence of seniors and advocate for the basic rights such as affordable housing and the rights of tenants.","Legal services include: public benefits maintenance and appeals, abuse prevention and intervention, wills and trusts, estate planning, consumer fraud, conservatorships, planning for long-term care, and tax controversies; offers free community events (e.g., immigration legal consultations)","English, Chinese, Japanese, Korean, Spanish, Tagalog, and Vietnamese",https://www.apilegaloutreach.org/programs/seniorlaw-elder-abuse-disability-rights-project/,N/A,N/A ,1 (800) 260-0094
