"name1","name2","street1","street2","city","state","zip","zip4","county","phone","intake_prompt","intake1","intake2","website","latitude","longitude","type_facility","mh","sa","dt","mm","dm","bum","db","rpn","bu","nxn","vtrl","meth","hh","noop","pain","nmoa","moa","ubn","otp","psy","rtcc","rtca","ores","ph","omh","cmhc","msmh","ipt","cft","gt","cbt","dbt","idd","at","ect","tele","saca","trc","smon","smpd","smop","hi","res","phdt","op","rs","rl","rd","od","omb","odt","oit","ort","hid","hit","ct","gh","psyh","vamc","tbg","ih","stg","lccg","ddf","stag","stmh","stdh","hla","jc","carf","ncqa","coa","hfap","np","sf","md","mc","si","pi","mi","smha","swfs","scjj","sef","osf","clf","csbg","cmhg","vaf","fsa","cit","wi","ss","pa","ah","sp","co","gl","vet","adm","mf","cj","se","ad","pw","wn","mn","hv","trma","xa","dv","sed","smi","alz","ptsd","tbi","tay","ped","act","icm","cm","cdm","peer","coot","dec","es","fpsy","hs","imr","ipc","lad","nrt","nsc","prs","stu","sps","semp","sh","tpc","tcc","vrs","adtx","bdtx","cdtx","mdtx","odtx","tgd","ico","gco","fco","mco","twfa","bia","cmi","moti","ang","mxm","crv","relp","bc","chld","yad","adlt","snr","fem","male","du","duo","acc","acm","acu","baba","ccc","cmha","csaa","daut","dp","dsf","dvfp","eih","emp","haec","heoh","hivt","isc","itu","mhs","opc","sae","shg","smhd","ssa","ssd","stdt","ta","taec","tbs","bsdm","nu","mu","bwn","bwon","ub","un","beri","pvtp","pvtn","fqhc","sumh","inpe","rpe","pc","naut","nmaut","acma","pmat","auinpe","aurpe","aupc","dlc","mhiv","mhcv","lfxd","clnd","copsu","daof","mst","noe","ofd","rc","piec","mdet","voc","hav","hbv","audo","cbhc","chlor","drope","fluph","halop","loxap","perph","pimoz","proch","thiot","thior","trifl","aripi","asena","brexp","carip","cloza","ilope","luras","olanz","olanzf","palip","queti","rispe","zipra","crt","emdr","kit","tms","peon","peoff","fg","pcf","pefp","aot","msnh","ipsy","shp","vahc","mmd","antpych","mpep","aim","fed","sotp","dea","mhc","samf","mhpa","hbt","hct","labt","tod","vapn","vapp","vppd","oudo","nx","fx","mws","f17","f19","f25","f28","f30","f31","f35","f36","f37","f4","f42","f43","f47","f66","f67","f70","f81","f92","n24","n40"
"Friendship House","Association of American Indians","56 Julian Avenue","","San Francisco","CA","94103","","San Francisco","415-865-0964","","","","http://www.friendshiphousesf.org","37.7673672","-122.4213751","SU","","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","1","","","","","1","1","1","","1","","","1","","","","1","","","","","","","","","","","","","","","","","","1","","1","","","1","","","","","1","1","1","","1","","","","","","","","","","","1","","","","","","","1","1","1","","","1","","","","1","1","1","1","1","1","","","","","","1","","","","1","","1","","","","","1","","1","","","","","1","1","","","","1","","","","","","","","1","1","1","1","1","1","","1","1","1","","1","","","1","1","","1","1","","","1","","","","","1","1","1","1","","1","1","1","1","1","1","","1","1","1","1","1","1","1","1","","1","1","1","","","","","","","","","","1","","","","1","1","","","1","","","1","1","","","","","","1","1","","1","1","1","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","",""
"City and County of San Francisco","OBOT/Tom Waddell Health Center","230 Golden Gate Avenue","","San Francisco","CA","94102","","San Francisco","628-206-4384","","","","https://dsaam.org/obot/","37.7821968","-122.4144286","SU","","1","","","","1","","1","1","1","1","","","","1","","","","","","","","","","","","","","","","1","","","","","1","1","1","1","","","","","","1","","","","","1","","","","","","","","","","","","1","","","","","1","","","","","","","","","1","1","1","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","1","","1","","1","1","","1","1","","","","1","","","","","","","","1","1","","","","1","1","1","1","","","1","","","1","1","","1","1","","","1","1","1","1","","1","1","1","1","1","","1","","1","1","1","","","1","1","1","","1","1","","1","","1","1","","1","","1","1","1","1","1","","","1","","","","","","","","1","1","","","","1","1","","1","","1","1","1","1","1","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","1","","","1","1","1","","1","1","","","1","","","","","","","","","","","","","","","","","","","","","","",""
"Curry Senior Center","Senior Alcohol and Drug Programs","315 Turk Street","","San Francisco","CA","94102","","San Francisco","415-292-1135","Intakes","415-292-1062","315-885-2344","http://curryseniorcenter.org","37.782545","-122.414336","SU","","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","1","","","","","1","1","1","1","","","","","","1","","","","","","","","1","","","","","","","","","","","","1","1","","","","","","","","","","1","1","1","1","","","","","","","","","","","1","","","","","","","1","1","1","","","","1","","","","","1","1","1","1","","","","","","","","","","1","","1","","","","","1","","1","","","","","1","","","","","1","","","","","","","1","1","1","1","1","","1","","1","","","","1","","","","1","","1","1","","","","","","","","1","1","","1","","","","","","","","","","1","1","1","","1","1","","","1","","","","","","","","","","","","1","","1","","","1","","","1","","1","","1","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HealthRIGHT 360","Mens Residential Program","890 Hayes Street","","San Francisco","CA","94117","","San Francisco","415-967-7406","Intakes","415-361-5098","415-762-3700 x2001","http://www.healthright360.org","37.7761164","-122.4309314","SU","","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","1","","","","","1","1","1","","1","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","1","1","","","","","","","","","","","","","1","","","","","","","1","1","","","","","","","","","1","","1","","","","","","","","","","","","1","","1","","","","","1","","","","","","","1","","","","","1","","","","","","","","1","1","","","1","","1","1","1","1","1","1","","","1","1","","","1","","","","","","1","","","1","1","1","","","","1","1","1","","1","","1","1","1","1","1","1","1","","1","","1","","1","","","","","","","","1","","","1","1","1","","","1","","","1","1","","","","","","","","","1","1","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","1","","","","","","","","","","","","","","","","","","",""
"San Francisco AIDS Foundation","Substance Health Services/Stonewall","1035 Market Street","Suite 400","San Francisco","CA","94103","2042","San Francisco","415-487-3100","","","","http://www.stonewallsf.org","37.7812517","-122.410873","SU","","1","","","","","","","1","1","","","","","","","1","","","","","","","","","","","","","","1","","","","","1","1","1","","1","","","","","1","","","","","","","","1","","","","","","","","","","","","1","1","1","","","","","","","1","","","","","","","","","","","","","","","","1","","","","1","","1","1","1","","","","","1","","","1","1","1","1","1","1","","","","","","1","","","","1","","1","","","","","1","","","","1","1","","1","","","","","1","","","","","","","","1","1","","","","","1","1","","","","","","","1","1","","1","1","","","1","1","1","","","1","1","1","1","1","","1","","1","1","1","1","","1","1","1","1","1","1","1","1","1","1","","","1","","1","1","1","1","","","1","","1","","","1","","","1","","","","1","","","1","1","1","1","","","1","1","1","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","1","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ohlhoff Recovery Programs","Henry Ohlhoff House","601 Steiner Street","","San Francisco","CA","94117","","San Francisco","415-621-4388 x227","Intakes","415-621-4388 x210","877-677-4543","http://www.ohlhoff.org","37.7748675","-122.4330549","SU","","1","","","","","","","","1","1","","1","","","","1","","","","","","","","","","","","","","1","","","","","","1","1","","1","","","1","","","","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","1","1","1","1","","1","1","1","1","","","","1","","","1","1","","","1","","","1","1","","1","","","1","1","1","1","","","1","","","","","","","","1","1","1","1","1","","","","","","1","","","","","1","","","1","","","","1","","","","1","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
"Ohlhoff Recovery Programs","Skip Byron Primary","601 Steiner Street","","San Francisco","CA","94117","","San Francisco","415-621-4388 x210","Intakes","877-677-4543","415-621-4388","http://www.ohlhoff.org","37.7748675","-122.4330549","SU","","1","1","","","1","1","1","1","1","1","","1","","","","1","","","","","","","","","","","","","","1","","","","","1","1","1","","1","","","1","","","1","","1","","","","","","","","","","","","","","","","","1","","1","","","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","1","","1","1","1","1","1","1","1","","","","","","1","","","","1","","1","","","","","1","","","","1","1","","1","1","","","","1","","1","1","1","1","1","","1","1","1","1","1","1","","1","1","1","","1","","","1","1","","1","1","","","1","1","","1","","","1","1","1","1","1","1","","1","1","","1","","1","1","1","1","1","1","1","","1","1","","1","1","","1","1","","1","1","","1","","","","1","1","","","","1","","1","","","1","","","1","1","1","","1","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","1","","","1","","","","1","","","","","","","","","","","","","","","","","","","",""
"Mission Council Family Day Treatment","","154 A Capp Street","","San Francisco","CA","94110","1210","San Francisco","415-864-0554","","","","http://www.missioncouncil.org","37.7640751","-122.4188655","SU","","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","1","","","","","","1","","1","","","","","","1","","","","","","1","1","1","","","","","","","","","","","","1","","1","","","","","","","1","","","","","","","","","","","","","","","","1","","","1","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","1","","","","","","","","","","","","","","","","","","","","1","1","1","1","1","1","","1","1","","","1","","","1","1","","1","1","","","1","","","1","1","","1","1","1","","1","1","1","1","1","","1","","","1","1","1","","1","1","","","1","","","","","","","","","","","1","","","","","1","","","1","","","","1","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mission Council on Alcohol Abuse for","The Spanish Speaking","154 A Capp Street","","San Francisco","CA","94110","1210","San Francisco","415-826-6767","","","","http://www.missioncouncil.org","37.7640751","-122.4188655","SU","","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","1","","","","","","1","","1","","","","","","1","","","","","","","","1","","","","","","","","","","","","1","","1","","","","","","","","1","","","1","1","","","","","","","","","","","1","","","1","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","","1","1","","1","1","","","1","","","1","1","","1","1","1","","1","","","1","","","1","1","1","","","","","1","1","","","","","1","1","1","","1","1","","","1","","","","","","","","","","","1","","","","","1","","","1","","","","1","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","1","","1","","","","","","","","","","","","","","","","","","",""
"Fort Help LLC","","915 Bryant Street","","San Francisco","CA","94103","","San Francisco","415-777-9953","","","","http://www.americanhealthservices.org","37.7738708","-122.404891","SU","","1","1","1","1","1","1","","1","","","1","","","","","","","1","","","","","","","","","","","","1","","","","","","1","1","1","","","","","","1","","","","1","1","","","1","","","","","","","","","","","","1","","","","","","","1","","","1","1","1","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","1","","","","","","","","","","","","","","","","","","1","","1","1","","","","","","1","","1","","1","","","1","1","","1","1","","","1","","","1","","","1","1","1","","","","","1","1","","","","","1","1","","1","1","1","1","","1","1","","","1","1","1","1","","","1","","","","","","","1","","","","","","","","","","","","","1","","1","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","1","","1","","","1","","","1","","","1","","","","","","","","","","","","","","","","","","","",""
"Latino Commission on Alc/DA Services","Casa Aviva Perinatal Women","1724-1726 Bryant Street","","San Francisco","CA","94110","","San Francisco","415-558-9125","Intakes","650-244-0305","650-244-1444","http://www.thelatinocommission.org","37.7650337","-122.4107452","SU","","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","1","","","","","1","1","1","","1","","","1","","","1","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","1","1","1","1","1","1","","","","","","","","","","1","","","","","","1","1","1","1","1","1","1","1","","1","1","","1","1","1","1","","","","","","1","","","","1","","1","","","","","1","","","","","","","1","","","","","1","","","","","","","","1","1","1","1","1","1","","1","1","1","","1","1","","1","1","","1","","","","1","","","1","","","1","1","1","","1","1","","1","1","","1","1","1","1","1","1","1","1","1","","1","1","","","","","","","","","","","1","1","1","","1","1","","","1","","","1","1","","","","","","1","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tenderloin OP Clinic","Hyde Street Community Services Inc","815 Hyde Street","Suite 100","San Francisco","CA","94109","","San Francisco","415-673-5700 x221","","415-673-5700","","http://www.hscssf.org","37.7885503","-122.4171276","MH","1","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","1","1","1","1","1","1","","1","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","","","","1","","","","","1","","","","","","","","","","1","1","1","","","","","1","","","","","","1","","","","1","","1","1","","","1","1","1","","1","","","","","","","","","","","1","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","","","","","","1","","","","1","","","","","1","","1","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","1","","","","","1","","1","","","","","","","","","1","","","","","","","1","","",""
"Felton Institute","","1500 Franklin Street","","San Francisco","CA","94109","","San Francisco","415-474-7310","","","","http://www.felton.org","37.7884789","-122.4234103","MH","1","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","1","1","1","1","","1","","1","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","1","","","","","","","","","","1","1","","1","1","1","","","","","","","1","","","","","","","","","","1","","1","","1","","","1","1","","1","","","","1","1","","","","","","1","1","1","1","","","","1","","","","","","","","","","","","","","","","","","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","1","","","","1","","","1","","1","1","1","","","","","","1","1","","","1","","","","","","","1","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Horizons Unlimited of","San Francisco Inc","440 Potrero Avenue","","San Francisco","CA","94110","","San Francisco","415-487-6700","","415-942-4893","","http://www.horizons-sf.org","37.7640100530684","-122.407371814167","SU","","1","","","","","","","1","","","","","","","","1","","","","","","","","","","","","","","1","","","","","1","1","1","","1","","","","","1","","","","","","","","1","","","","","","","","","","","","","","1","","","","","","","","","","1","1","","","","","","","","","","","","1","","","","1","","1","1","1","","","","1","","1","","","","","1","","","","","","","","1","","","","1","","1","","","","","1","","","","","","","1","1","","","","","","","","","","","","1","1","1","","","1","1","1","","","","1","","","1","1","","1","1","","","1","","","","","1","1","","1","","","","","","1","","1","","1","1","1","","1","1","1","","1","","","","","","1","","","","","","1","","","","1","1","","","1","","","1","1","","","","","","","","","1","1","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","",""
